entry_index,timestamp,symbol,side,entry_price,source_close,proxy_bid,proxy_ask,spread_pct,signal_score_pct,threshold_pct,ari_threshold_pct,theo_threshold_pct,ari_clears,theo_clears,consistent,admission_score,required_score,mfe_240m_points,mae_240m_points,return_60m_points,mfe_60m_points,mae_60m_points,return_120m_points,mfe_120m_points,mae_120m_points,return_180m_points,mfe_180m_points,mae_180m_points,return_240m_points
10,2024-02-05T15:00:00+00:00,XAUUSD,Sell,2033.7966,2034.0,2033.7966,2034.2034,0.0002,-0.004795,0.0036,0.0036,0.0005,True,True,True,55,45,-0.2034,-10.103424,-4.7034,-0.2034,-5.003449,-8.2034,-0.2034,-9.003449,-8.403351,-0.2034,-9.7034,-8.503449
12,2024-02-05T17:00:00+00:00,XAUUSD,Buy,2042.2042,2042.0,2041.7958,2042.2042,0.0002,0.004971,0.0036,0.0036,0.0005,True,True,True,55,45,1.695824,-1.804176,-0.004249,1.2958,-0.504249,0.095849,1.695824,-0.804176,-0.7042,1.695824,-1.804176,-0.604224
14,2024-02-05T19:00:00+00:00,XAUUSD,Buy,2042.504279,2042.300049,2042.095819,2042.504279,0.0002,0.004081,0.0036,0.0036,0.0005,True,True,True,55,45,1.29577,-2.604254,-1.004279,0.195672,-2.104254,-0.904303,0.195672,-2.104254,-1.304328,0.195672,-2.604254,0.495721
33,2024-02-06T15:00:00+00:00,XAUUSD,Buy,2052.805358,2052.600098,2052.394838,2052.805358,0.0002,0.004847,0.0036,0.0036,0.0005,True,True,True,55,45,2.494691,-4.505309,0.194642,2.494691,-1.305358,0.494691,2.494691,-4.505309,0.094545,2.494691,-4.505309,-0.505309
34,2024-02-06T16:00:00+00:00,XAUUSD,Buy,2053.2053,2053.0,2052.7947,2053.2053,0.0002,0.004501,0.0036,0.0036,0.0005,True,True,True,55,45,1.494651,-4.905251,0.094749,1.494651,-4.905251,-0.305398,1.494651,-4.905251,-0.905251,1.494651,-4.905251,-0.905251
35,2024-02-06T17:00:00+00:00,XAUUSD,Buy,2053.505379,2053.300049,2053.094719,2053.505379,0.0002,0.003862,0.0036,0.0036,0.0005,True,True,True,55,45,0.994621,-3.405281,-0.605476,0.994621,-3.405281,-1.20533,0.994621,-3.405281,-1.20533,0.994621,-3.405281,-1.005379
55,2024-02-07T14:00:00+00:00,XAUUSD,Buy,2059.005929,2058.800049,2058.594169,2059.005929,0.0002,0.004783,0.0036,0.0036,0.0005,True,True,True,55,45,0.594169,-9.005929,-4.606026,0.594169,-7.606026,-4.405831,0.594169,-7.606026,-7.20588,0.594169,-8.805978,-8.106026
59,2024-02-07T18:00:00+00:00,XAUUSD,Sell,2050.694812,2050.899902,2050.694812,2051.104992,0.0002,-0.003837,0.0036,0.0036,0.0005,True,True,True,55,45,1.194812,-1.105236,-1.005139,0.394764,-1.105236,0.094715,0.394764,-1.105236,-0.20509,1.194812,-1.105236,-0.70509
77,2024-02-08T13:00:00+00:00,XAUUSD,Sell,2035.596469,2035.800049,2035.596469,2036.003629,0.0002,-0.006927,0.0036,0.0036,0.0005,True,True,True,65,45,0.996493,-13.503629,-7.603482,0.996493,-13.503629,-11.403531,0.996493,-13.503629,-11.403531,0.996493,-13.503629,-11.103482
78,2024-02-08T14:00:00+00:00,XAUUSD,Sell,2042.995631,2043.199951,2042.995631,2043.404271,0.0002,-0.003803,0.0036,0.0036,0.0005,True,True,True,55,45,0.595607,-7.504369,-4.004369,0.595607,-5.20432,-4.004369,0.595607,-5.20432,-3.70432,0.595607,-5.20432,-4.20432
101,2024-02-09T14:00:00+00:00,XAUUSD,Sell,2039.396016,2039.599976,2039.396016,2039.803936,0.0002,-0.003761,0.0036,0.0036,0.0005,True,True,True,55,45,5.095967,-2.504009,2.495991,3.196064,-2.504009,3.595967,5.095967,-2.504009,0.396016,5.095967,-2.504009,1.396016
102,2024-02-09T15:00:00+00:00,XAUUSD,Sell,2036.696334,2036.900024,2036.696334,2037.103714,0.0002,-0.004448,0.0036,0.0036,0.0005,True,True,True,55,45,2.396286,-4.003617,0.896286,2.396286,-1.403641,-2.303666,2.396286,-2.403641,-1.303666,2.396286,-4.003617,-2.303666
103,2024-02-09T16:00:00+00:00,XAUUSD,Sell,2035.596469,2035.800049,2035.596469,2036.003629,0.0002,-0.003622,0.0036,0.0036,0.0005,True,True,True,55,45,0.196444,-5.103482,-3.403531,0.196444,-3.503507,-2.403531,0.196444,-5.103482,-3.403531,0.196444,-5.103482,-3.70358
125,2024-02-12T15:00:00+00:00,XAUUSD,Sell,2026.597369,2026.800049,2026.597369,2027.002729,0.0002,-0.00447,0.0036,0.0036,0.0005,True,True,True,55,45,1.197344,-8.70268,-3.002607,1.197344,-3.502607,-6.502607,1.197344,-7.802656,-8.602582,1.197344,-8.70268,-6.20268
141,2024-02-13T08:00:00+00:00,XAUUSD,Buy,2040.004029,2039.800049,2039.596069,2040.004029,0.0002,0.003641,0.0036,0.0036,0.0005,True,True,True,55,45,2.995971,-1.404053,0.195922,0.395996,-1.404053,0.29602,1.895996,-1.404053,1.29602,2.995971,-1.404053,1.995971
146,2024-02-13T13:00:00+00:00,XAUUSD,Sell,2017.398216,2017.599976,2017.398216,2017.801736,0.0002,-0.011077,0.0036,0.0036,0.0005,True,False,False,55,45,14.598167,-1.70176,8.898216,12.098167,-1.70176,12.598167,14.598167,-1.70176,9.398216,14.598167,-1.70176,10.79824
147,2024-02-13T14:00:00+00:00,XAUUSD,Sell,2008.29915,2008.5,2008.29915,2008.70085,0.0002,-0.015586,0.0036,0.0036,0.0005,True,False,False,55,45,5.499101,-2.500899,3.499101,5.499101,-0.70085,0.29915,5.499101,-2.500899,1.699174,5.499101,-2.500899,1.899126
148,2024-02-13T15:00:00+00:00,XAUUSD,Sell,2004.599569,2004.800049,2004.599569,2005.000529,0.0002,-0.017881,0.0036,0.0036,0.0005,True,True,True,75,45,0.399618,-6.20048,-3.400431,-0.300456,-6.20048,-2.000407,-0.300456,-6.20048,-1.800456,-0.300456,-6.20048,-0.000407
149,2024-02-13T16:00:00+00:00,XAUUSD,Sell,2007.7992,2008.0,2007.7992,2008.2008,0.0002,-0.01665,0.0036,0.0036,0.0005,True,True,True,75,45,3.699224,-1.2008,1.199224,2.199224,-1.2008,1.399176,2.199224,-1.2008,3.199224,3.599249,-1.2008,2.2992
150,2024-02-13T17:00:00+00:00,XAUUSD,Sell,2006.399316,2006.599976,2006.399316,2006.800636,0.0002,-0.005452,0.0036,0.0036,0.0005,True,True,True,65,45,2.29934,-2.300636,-0.000709,0.29934,-2.300636,1.79934,2.199364,-2.300636,0.899316,2.29934,-2.300636,0.399316
192,2024-02-15T13:00:00+00:00,XAUUSD,Buy,2015.601564,2015.400024,2015.198484,2015.601564,0.0002,0.003685,0.0036,0.0036,0.0005,True,True,True,55,45,4.598387,-5.70154,-0.101564,4.598387,-2.70154,-3.301516,4.598387,-4.501589,-3.901613,4.598387,-5.70154,-0.401613
193,2024-02-15T14:00:00+00:00,XAUUSD,Buy,2015.70155,2015.5,2015.29845,2015.70155,0.0002,0.004085,0.0036,0.0036,0.0005,True,True,True,55,45,4.198474,-5.801526,-3.401501,4.198474,-4.601574,-4.001599,4.198474,-5.801526,-0.501599,4.198474,-5.801526,0.498401
216,2024-02-16T14:00:00+00:00,XAUUSD,Sell,2009.29905,2009.5,2009.29905,2009.70095,0.0002,-0.004557,0.0036,0.0036,0.0005,True,True,True,55,45,0.599099,-17.900901,-10.400901,0.599099,-14.100974,-11.800926,0.599099,-14.100974,-16.000999,0.599099,-17.900901,-16.300926
219,2024-02-16T17:00:00+00:00,XAUUSD,Buy,2025.502579,2025.300049,2025.097519,2025.502579,0.0002,0.00606,0.0036,0.0036,0.0005,True,False,True,65,45,1.597397,-2.602554,0.097397,1.597397,-2.602554,-1.102554,1.597397,-2.602554,-1.70253,1.597397,-2.602554,-0.302628
220,2024-02-16T18:00:00+00:00,XAUUSD,Buy,2025.802536,2025.599976,2025.397416,2025.802536,0.0002,0.008012,0.0036,0.0036,0.0005,True,True,True,75,45,2.197464,-2.902511,-1.402511,1.097489,-2.402511,-2.002487,1.097489,-2.902511,-0.602584,1.097489,-2.902511,-0.102584
226,2024-02-19T01:00:00+00:00,XAUUSD,Buy,2031.403071,2031.199951,2030.996831,2031.403071,0.0002,0.003656,0.0036,0.0036,0.0005,True,True,True,55,45,2.896978,-2.803096,2.29688,2.896978,-1.403071,-0.20312,2.896978,-1.403071,-0.903071,2.896978,-1.803096,-2.003047
227,2024-02-19T02:00:00+00:00,XAUUSD,Buy,2033.903321,2033.699951,2033.496581,2033.903321,0.0002,0.004197,0.0036,0.0036,0.0005,True,True,True,55,45,-0.20337,-5.303346,-2.70337,-0.20337,-3.403321,-3.403321,-0.20337,-4.303346,-4.503297,-0.20337,-5.303346,-3.603272
287,2024-02-22T16:00:00+00:00,XAUUSD,Sell,2030.496881,2030.699951,2030.496881,2030.903021,0.0002,-0.00368,0.0036,0.0036,0.0005,True,True,True,55,45,0.996881,-4.20307,-2.403143,0.29693,-4.20307,-2.20307,0.996881,-4.20307,-2.603094,0.996881,-4.20307,-4.003119
306,2024-02-23T12:00:00+00:00,XAUUSD,Buy,2037.70375,2037.5,2037.29625,2037.70375,0.0002,0.004288,0.0036,0.0036,0.0005,True,False,True,55,45,10.79625,-4.003799,-2.903701,1.396226,-3.70375,-0.603774,1.396226,-4.003799,2.29625,3.696274,-4.003799,10.596299
307,2024-02-23T13:00:00+00:00,XAUUSD,Buy,2035.003529,2034.800049,2034.596569,2035.003529,0.0002,0.004294,0.0036,0.0036,0.0005,True,True,True,55,45,14.79652,-1.303578,2.096447,3.29652,-1.303578,4.996471,6.396496,-1.303578,13.29652,13.496471,-1.303578,12.996471
310,2024-02-23T16:00:00+00:00,XAUUSD,Buy,2048.504879,2048.300049,2048.095219,2048.504879,0.0002,0.005301,0.0036,0.0036,0.0005,True,False,True,55,45,4.695072,-2.604854,-0.504879,1.29517,-2.104854,2.095219,4.695072,-2.104854,-1.004879,4.695072,-2.104854,-1.804928
311,2024-02-23T17:00:00+00:00,XAUUSD,Buy,2048.2048,2048.0,2047.7952,2048.2048,0.0002,0.006487,0.0036,0.0036,0.0005,True,True,True,65,45,4.995151,-3.004849,2.395298,4.995151,-0.7048,-0.7048,4.995151,-1.304776,-1.504849,4.995151,-2.304776,-2.404751
312,2024-02-23T18:00:00+00:00,XAUUSD,Buy,2050.805158,2050.600098,2050.395038,2050.805158,0.0002,0.006627,0.0036,0.0036,0.0005,True,True,True,65,45,-0.20506,-8.705182,-3.305158,-0.20506,-3.905133,-4.105206,-0.20506,-4.905133,-5.005109,-0.20506,-5.605206,-7.305158
317,2024-02-26T00:00:00+00:00,XAUUSD,Sell,2039.796,2040.0,2039.796,2040.204,0.0002,-0.003663,0.0036,0.0036,0.0005,True,True,True,55,45,0.196024,-4.104024,-1.303976,0.196024,-4.104024,-0.803976,0.196024,-4.104024,-2.204,0.196024,-4.104024,-1.903951
376,2024-02-28T13:00:00+00:00,XAUUSD,Buy,2045.304486,2045.099976,2044.895466,2045.304486,0.0002,0.005507,0.0036,0.0036,0.0005,True,True,True,65,45,2.095539,-5.70451,-4.304486,2.095539,-5.20451,-4.20451,2.095539,-5.70451,-2.404461,2.095539,-5.70451,-2.20451
399,2024-02-29T13:00:00+00:00,XAUUSD,Buy,2056.405571,2056.199951,2055.994331,2056.405571,0.0002,0.00651,0.0036,0.0036,0.0005,True,False,False,45,45,2.994331,-4.605522,-0.20562,2.594429,-2.005669,0.29438,2.994331,-2.105522,-3.005669,2.994331,-4.305474,-2.005669
400,2024-02-29T14:00:00+00:00,XAUUSD,Buy,2056.405571,2056.199951,2055.994331,2056.405571,0.0002,0.008485,0.0036,0.0036,0.0005,True,True,False,55,45,2.994331,-4.605522,0.29438,2.994331,-2.105522,-3.005669,2.994331,-4.305474,-2.005669,2.994331,-4.605522,-1.505669
401,2024-02-29T15:00:00+00:00,XAUUSD,Buy,2056.905621,2056.699951,2056.494281,2056.905621,0.0002,0.008978,0.0036,0.0036,0.0005,True,True,False,55,45,0.094379,-5.105572,-3.505719,0.094379,-4.805524,-2.505719,0.094379,-5.105572,-2.005719,0.094379,-5.105572,-3.905621
402,2024-02-29T16:00:00+00:00,XAUUSD,Buy,2053.605242,2053.399902,2053.194562,2053.605242,0.0002,0.007359,0.0036,0.0036,0.0005,True,True,False,55,45,1.894758,-1.805194,0.79466,0.894758,-1.805194,1.29466,1.894758,-1.805194,-0.605242,1.894758,-1.805194,-0.905291
420,2024-03-01T11:00:00+00:00,XAUUSD,Buy,2064.006429,2063.800049,2063.593669,2064.006429,0.0002,0.004918,0.0036,0.0036,0.0005,True,False,True,55,45,15.79362,-13.006429,-3.106526,1.493571,-3.406331,-4.006429,1.493571,-5.70638,-9.306478,1.493571,-13.006429,13.893474
421,2024-03-01T12:00:00+00:00,XAUUSD,Buy,2061.105992,2060.899902,2060.693812,2061.105992,0.0002,0.006299,0.0036,0.0036,0.0005,True,True,True,65,45,29.694056,-10.105992,-1.105992,1.894008,-2.805944,-6.406041,4.093959,-10.105992,16.79391,18.694056,-10.105992,28.79391
423,2024-03-01T14:00:00+00:00,XAUUSD,Sell,2054.494481,2054.699951,2054.494481,2054.905421,0.0002,-0.004168,0.0036,0.0036,0.0005,True,True,True,55,45,-0.20547,-42.605616,-23.405421,-0.20547,-25.305568,-35.405421,-0.20547,-36.305568,-39.105616,-0.20547,-40.105616,-40.005519
425,2024-03-01T16:00:00+00:00,XAUUSD,Buy,2090.108892,2089.899902,2089.690912,2090.108892,0.0002,0.014072,0.0036,0.0036,0.0005,True,False,False,55,45,6.991205,-1.408941,3.491205,4.491205,-1.408941,4.391108,6.991205,-1.408941,3.991205,6.991205,-1.408941,2.29101
426,2024-03-01T17:00:00+00:00,XAUUSD,Buy,2093.809458,2093.600098,2093.390738,2093.809458,0.0002,0.016311,0.0036,0.0036,0.0005,True,False,True,75,45,3.29064,-2.809458,0.690542,3.29064,-2.809458,0.29064,3.29064,-2.809458,-1.409555,3.29064,-2.809458,-1.909555
427,2024-03-01T18:00:00+00:00,XAUUSD,Buy,2094.70945,2094.5,2094.29055,2094.70945,0.0002,0.01937,0.0036,0.0036,0.0005,True,True,True,75,45,0.890648,-3.70945,-0.609352,0.890648,-1.20945,-2.309548,0.890648,-2.70945,-2.809548,0.890648,-3.009499,-2.509499
428,2024-03-01T19:00:00+00:00,XAUUSD,Buy,2094.309508,2094.100098,2093.890688,2094.309508,0.0002,0.007796,0.0036,0.0036,0.0005,True,True,True,75,45,0.79059,-3.309508,-1.909605,-0.20941,-2.309508,-2.409605,-0.20941,-2.609556,-2.109556,0.79059,-3.309508,-3.109556
446,2024-03-04T14:00:00+00:00,XAUUSD,Buy,2109.610842,2109.399902,2109.188962,2109.610842,0.0002,0.008269,0.0036,0.0036,0.0005,True,False,True,75,45,18.78906,-3.610842,8.089109,8.489255,-3.610842,18.189206,18.78906,-3.610842,15.589109,18.78906,-3.610842,14.389158
447,2024-03-04T15:00:00+00:00,XAUUSD,Buy,2117.911721,2117.699951,2117.488181,2117.911721,0.0002,0.01306,0.0036,0.0036,0.0005,True,True,True,75,45,10.488181,-1.511819,9.888328,10.488181,-1.511819,7.28823,10.488181,-1.511819,6.088279,10.488181,-1.511819,7.088279
448,2024-03-04T16:00:00+00:00,XAUUSD,Buy,2128.012829,2127.800049,2127.587269,2128.012829,0.0002,0.017551,0.0036,0.0036,0.0005,True,True,True,75,45,0.387074,-6.012829,-2.812878,0.387074,-5.912731,-4.012829,0.387074,-5.912731,-3.012829,0.387074,-6.012829,-2.71278
449,2024-03-04T17:00:00+00:00,XAUUSD,Buy,2125.412471,2125.199951,2124.987431,2125.412471,0.0002,0.011904,0.0036,0.0036,0.0005,True,True,True,75,45,1.687626,-3.412471,-1.412471,1.28748,-3.21252,-0.412471,1.28748,-3.412471,-0.112422,1.687626,-3.412471,-2.312374
450,2024-03-04T18:00:00+00:00,XAUUSD,Buy,2124.2124,2124.0,2123.7876,2124.2124,0.0002,0.006921,0.0036,0.0036,0.0005,True,True,False,45,45,2.887698,-2.2124,0.7876,1.7876,-2.2124,1.087649,2.887698,-2.2124,-1.112302,2.887698,-2.2124,-1.312498
466,2024-03-05T11:00:00+00:00,XAUUSD,Buy,2133.013329,2132.800049,2132.586769,2133.013329,0.0002,0.004758,0.0036,0.0036,0.0005,True,True,True,55,45,17.486671,-3.813378,-0.413231,0.586769,-3.813378,2.886574,17.486671,-3.813378,3.586769,17.486671,-3.813378,2.186622
