timestamp,veto_agent,raw_blockers
2026-06-22 01:43:11,Anomaly Scanner,Anomaly gate active: 6 critical anomaly group(s) require review before new entries.
2026-06-22 15:10:02,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -136.74 minus open stop risk 999.75 <= -1000.
2026-06-22 15:15:03,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -136.74 minus open stop risk 999.75 <= -1000.
2026-06-22 16:40:32,Concentrated short USD exposure across 3 positions.,Concentrated short USD exposure across 3 positions.
2026-06-22 16:45:33,Concentrated short USD exposure across 3 positions.,Concentrated short USD exposure across 3 positions.
2026-06-22 16:50:34,Concentrated short USD exposure across 3 positions.,Concentrated short USD exposure across 3 positions.
2026-06-22 17:05:39,Concentrated short USD exposure across 3 positions.,Concentrated short USD exposure across 3 positions.
2026-06-22 17:10:40,Concentrated short USD exposure across 3 positions.,Concentrated short USD exposure across 3 positions.
2026-06-22 17:15:42,Concentrated short USD exposure across 3 positions.,Concentrated short USD exposure across 3 positions.
2026-06-22 20:11:35,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 20:16:36,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 20:21:37,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 20:26:39,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 20:31:40,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 20:36:42,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 20:41:43,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 20:46:44,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 20:51:46,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 20:56:47,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 21:01:49,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 21:06:50,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 21:11:52,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 21:16:54,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 21:21:55,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 21:26:57,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 21:31:59,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 21:37:00,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 21:42:01,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 21:47:03,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 21:52:04,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 21:57:06,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 22:02:07,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 22:07:09,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 22:12:10,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 22:17:11,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 22:22:13,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 22:27:14,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
2026-06-22 22:32:15,Downside Limit,Concentrated short USD exposure across 3 positions.; Aggregate downside gate breached: realized daily P/L -101.94 minus open stop risk 1087.15 <= -1000.
