position_id,symbol,side,status,sample_type,opened_at,closed_at,entry,stored_exit,stop_loss,take_profit,stored_pnl,candles_in_window,first_candle,last_candle,reconstructed_mfe,reconstructed_mae,stop_crossed,first_stop_cross_at,target_crossed,first_target_cross_at,diagnostic,error
194,NZDUSD,Buy,Open,training_probe,2026-06-26T06:34:03+00:00,,0.56504,,0.56221,0.57069,0.0,43,2026-06-26T06:34:00+00:00,2026-06-26T07:16:00+00:00,-4.65,-15.71,False,,False,,open position; no stop/target crossing in fetched path,
193,EURUSD,Buy,Open,training_probe,2026-06-26T06:34:03+00:00,,1.13818,,1.13249,1.14956,0.0,44,2026-06-26T06:34:00+00:00,2026-06-26T07:17:00+00:00,-1.87,-12.41,False,,False,,open position; no stop/target crossing in fetched path,
192,EURJPY,Buy,Closed,training_probe,2026-06-26T06:33:01+00:00,2026-06-26T06:36:07+00:00,183.97,183.98,183.05015,185.8097,0.68,5,2026-06-26T06:33:00+00:00,2026-06-26T06:37:00+00:00,2.31,-2.45,False,,False,,closed position; no stop/target crossing in fetched path,
191,AUDUSD,Buy,Open,training_probe,2026-06-26T06:33:01+00:00,,0.68984,,0.68639,0.69674,0.0,44,2026-06-26T06:33:00+00:00,2026-06-26T07:16:00+00:00,-0.36,-12.68,False,,False,,open position; no stop/target crossing in fetched path,
190,XAUUSD,Sell,Closed,standard_signal,2026-06-26T00:03:07+00:00,2026-06-26T00:08:09+00:00,4015.5,4013.86,4035.5775,3975.345,7.15,7,2026-06-26T00:03:00+00:00,2026-06-26T00:09:00+00:00,17.65,-2.0,False,,False,,closed position; no stop/target crossing in fetched path,
189,USDCAD,Sell,Closed,standard_signal,2026-06-25T23:42:58+00:00,2026-06-26T00:25:30+00:00,1.42005,1.41992,1.42715,1.40585,4.58,45,2026-06-25T23:42:00+00:00,2026-06-26T00:26:00+00:00,19.37,-1.76,False,,False,,closed position; no stop/target crossing in fetched path,
188,USDCHF,Buy,Open,standard_signal,2026-06-25T10:16:42+00:00,,0.81217,,0.80811,0.82029,0.0,1200,2026-06-25T11:13:00+00:00,2026-06-26T07:17:00+00:00,72.64,-236.4,False,,False,,open position; no stop/target crossing in fetched path,
187,XAUUSD,Sell,Closed,standard_signal,2026-06-25T10:11:40+00:00,2026-06-25T23:42:58+00:00,3983.99,4023.93,4003.90995,3944.1501,-175.44,746,2026-06-25T10:16:00+00:00,2026-06-25T23:43:00+00:00,47.26,-263.6,True,2026-06-25T12:30:00+00:00,False,,stop crossed inside 1-minute path,
186,XAUUSD,Sell,Closed,standard_signal,2026-06-25T09:01:13+00:00,2026-06-25T09:16:18+00:00,3991.34,3991.15,4011.2967,3951.4266,0.83,0,,,,,,,,,,no 1-minute candles overlap position window
185,XAUUSD,Buy,Closed,standard_signal,2026-06-25T08:36:04+00:00,2026-06-25T08:41:06+00:00,3997.29,3999.16,3977.30355,4037.2629,8.19,0,,,,,,,,,,no 1-minute candles overlap position window
184,USDCHF,Sell,Closed,standard_signal,2026-06-25T08:05:54+00:00,2026-06-25T08:31:02+00:00,0.8107,0.81064,0.81475,0.80259,3.7,0,,,,,,,,,,no 1-minute candles overlap position window
183,XAUUSD,Buy,Closed,standard_signal,2026-06-25T08:00:52+00:00,2026-06-25T08:05:54+00:00,3990.01,3991.2,3970.05995,4029.9101,5.22,0,,,,,,,,,,no 1-minute candles overlap position window
