trade_id,created_at,symbol,side,duration_seconds,baseline_pnl,mfe,mae,close_reason,stop_triggered,synthetic_pnl,pnl_delta,baseline_outcome,synthetic_outcome
136,2026-06-24 01:55:27,XAUUSD,Sell,603.0,24.9,29.17,-0.96,AA day-trader trailing protection exit: protect open profit,0,24.9,0.0,Win,Win
137,2026-06-24 02:10:33,XAUUSD,Sell,906.0,10.2,11.18,-27.4,AA day-trader trailing protection exit: protect open profit,1,-20.0,-30.2,Win,Loss
138,2026-06-24 02:50:46,AUDUSD,Buy,49458.0,-263.57,-23.76,-263.57,paper stop loss hit,1,-20.0,243.57,Loss,Loss
139,2026-06-24 03:20:56,XAUUSD,Sell,2112.0,9.19,10.16,-39.06,AA day-trader trailing protection exit: protect open profit,1,-20.0,-29.19,Win,Loss
140,2026-06-24 05:31:38,XAUUSD,Sell,7842.0,-98.59,-8.85,-98.59,paper stop loss hit,1,-20.0,78.59,Loss,Loss
141,2026-06-24 06:01:48,XAUUSD,Buy,905.0,2.45,3.65,-17.85,AA day-trader trailing protection exit: protect open profit,0,2.45,0.0,Win,Win
142,2026-06-24 06:06:50,XAUUSD,Buy,302.0,13.68,14.67,-1.2,AA day-trader trailing protection exit: protect open profit,0,13.68,0.0,Win,Win
143,2026-06-24 07:57:27,XAUUSD,Sell,1206.0,5.19,6.2,-26.94,AA day-trader trailing protection exit: protect open profit,1,-20.0,-25.19,Win,Loss
144,2026-06-24 10:38:19,XAUUSD,Buy,7539.0,-123.06,-20.17,-123.06,paper stop loss hit,1,-20.0,103.06,Loss,Loss
145,2026-06-24 10:43:21,GBPJPY,Sell,62715.0,53.97,75.32,-88.7,AA day-trader trailing protection exit: protect open profit,1,-20.0,-73.97,Win,Loss
146,2026-06-24 10:58:26,GBPJPY,Sell,603.0,0.24,8.46,-8.23,AA day-trader trailing protection exit: protect open profit,0,0.24,0.0,Win,Win
147,2026-06-24 11:08:30,XAUUSD,Sell,301.0,11.35,12.39,-0.99,AA day-trader trailing protection exit: protect open profit,0,11.35,0.0,Win,Win
148,2026-06-24 11:13:31,XAUUSD,Sell,301.0,5.49,6.46,5.49,AA day-trader trailing protection exit: protect open profit,0,5.49,0.0,Win,Win
149,2026-06-24 11:58:48,EURJPY,Sell,3923.0,8.18,12.95,-28.5,AA day-trader trailing protection exit: protect open profit,1,-20.0,-28.18,Win,Loss
150,2026-06-24 12:23:57,XAUUSD,Sell,603.0,16.29,17.28,-0.04,AA day-trader trailing protection exit: protect open profit,0,16.29,0.0,Win,Win
151,2026-06-24 12:28:59,XAUUSD,Sell,302.0,65.65,66.65,65.65,AA day-trader quick profit exit: intraday target captured,0,65.65,0.0,Win,Win
152,2026-06-24 13:24:19,XAUUSD,Sell,603.0,10.84,12.07,-8.02,AA day-trader trailing protection exit: protect open profit,0,10.84,0.0,Win,Win
153,2026-06-24 13:34:23,XAUUSD,Sell,603.0,-99.52,-1.23,-99.52,paper stop loss hit,1,-20.0,79.52,Loss,Loss
